epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,394.68,1.31299,1.89105,1.44309,0.38686,0.30484,0.23783,0.12746,1.71873,2.33486,1.77121,0.0011882,0.0011882,0.0011882
43,404.11,1.33008,1.90672,1.43704,0.41689,0.38177,0.37503,0.22446,1.45418,1.92064,1.50521,0.0011684,0.0011684,0.0011684
44,415.701,1.33581,1.84787,1.43546,0.47539,0.40456,0.4137,0.2416,1.39101,1.83141,1.45663,0.0011486,0.0011486,0.0011486
45,427.464,1.30247,1.81328,1.42495,0.48602,0.42296,0.43229,0.22797,1.46383,1.86691,1.51501,0.0011288,0.0011288,0.0011288
46,437.118,1.30526,1.81263,1.42726,0.39141,0.43305,0.34221,0.17384,1.59285,1.98923,1.5951,0.001109,0.001109,0.001109
47,448.733,1.29326,1.813,1.43056,0.4288,0.37892,0.34381,0.19736,1.47201,1.96165,1.57435,0.0010892,0.0010892,0.0010892
48,458.613,1.27622,1.83794,1.4176,0.53287,0.46439,0.46476,0.25439,1.4085,1.80121,1.52684,0.0010694,0.0010694,0.0010694
49,468.674,1.33908,1.82645,1.43482,0.41996,0.50997,0.40414,0.21646,1.38666,1.83649,1.46537,0.0010496,0.0010496,0.0010496
50,480.383,1.33698,1.86373,1.43901,0.34342,0.32479,0.24895,0.12854,1.84308,2.33713,1.86591,0.0010298,0.0010298,0.0010298
51,490.584,1.2665,1.81303,1.41576,0.50745,0.37037,0.36477,0.20014,1.55966,2.02843,1.63743,0.00101,0.00101,0.00101
52,500.257,1.29528,1.77368,1.41258,0.47615,0.4188,0.40068,0.23635,1.41077,1.87732,1.49648,0.0009902,0.0009902,0.0009902
53,509.902,1.26472,1.77043,1.40712,0.48194,0.47971,0.43515,0.27069,1.37279,1.73523,1.44355,0.0009704,0.0009704,0.0009704
54,521.085,1.244,1.78317,1.40016,0.44577,0.50142,0.42608,0.2529,1.40725,1.85507,1.4775,0.0009506,0.0009506,0.0009506
55,531.867,1.25389,1.77336,1.38554,0.50524,0.46724,0.45218,0.24527,1.42113,1.74296,1.48601,0.0009308,0.0009308,0.0009308
56,540.863,1.28421,1.75433,1.40637,0.50435,0.46095,0.44938,0.25223,1.41604,1.8145,1.48596,0.000911,0.000911,0.000911
57,553.019,1.26225,1.75137,1.39309,0.55011,0.45636,0.46668,0.28048,1.35893,1.74771,1.43624,0.0008912,0.0008912,0.0008912
58,562.932,1.22029,1.71432,1.36659,0.50599,0.54701,0.49032,0.29177,1.34165,1.71018,1.42574,0.0008714,0.0008714,0.0008714
59,572.79,1.22168,1.68613,1.37021,0.50161,0.48433,0.48071,0.28379,1.42626,1.69309,1.48787,0.0008516,0.0008516,0.0008516
60,584.525,1.23166,1.71259,1.38364,0.47964,0.48057,0.46727,0.2764,1.42489,1.72088,1.52736,0.0008318,0.0008318,0.0008318
61,593.693,1.25092,1.73586,1.394,0.60455,0.4416,0.49518,0.29498,1.38037,1.69554,1.4825,0.000812,0.000812,0.000812
62,603.197,1.23415,1.69113,1.37558,0.49605,0.50997,0.48489,0.30142,1.32692,1.62684,1.44257,0.0007922,0.0007922,0.0007922
63,611.842,1.22106,1.70977,1.37552,0.48807,0.49288,0.49739,0.32426,1.27686,1.60816,1.40167,0.0007724,0.0007724,0.0007724
64,621.942,1.22901,1.69384,1.37128,0.51889,0.47578,0.49073,0.30895,1.28322,1.69658,1.3787,0.0007526,0.0007526,0.0007526
65,629.295,1.20261,1.66327,1.35702,0.52272,0.47578,0.47949,0.31119,1.2659,1.6668,1.37798,0.0007328,0.0007328,0.0007328
66,638.909,1.20927,1.66349,1.35332,0.52269,0.52707,0.51761,0.333,1.23848,1.55676,1.34842,0.000713,0.000713,0.000713
67,648.095,1.2041,1.64992,1.35968,0.59647,0.50142,0.55122,0.35342,1.2383,1.49748,1.35407,0.0006932,0.0006932,0.0006932
